14,17,,,,,,,,,,,,,,,
x,22\,38\,13\,7\,26\,x,16\,10\,x,11\,16\,x,x,12\,32\,15\
\16,6,1,4,2,3,\12,9,3,4\7,1,6,x,10\21,8,9,4
\34,7,6,9,4,8,19\18,7,1,3,5,2,38\17,3,4,8,2
\12,9,3,40\18,1,9,8,8\22,2,1,3,4,5,7,29\6,5,1
x,17\8,7,1,7\13,6,1,2,4,\6,2,1,3,17\8,1,4,3
\23,7,9,6,1,21\11,5,6,7\,22\,10\38,3,7,9,8,6,5
\35,9,8,7,6,3,2,7\12,1,8,3,19\23,9,8,6,29\,6\
\10,1,4,5,11\43,5,3,6,4,9,7,1,8,3\6,3,2,1
x,15\,29\23,9,8,6,24\8,1,2,5,4\21,3,6,1,4,5,2
\25,4,7,8,3,2,1,11\,x,11\5,3,2,11\16,2,5,6,3
\7,1,2,4,7\15,1,9,5,14\10,3,1,4,2,23\3,2,1,7\
\12,3,9,16\30,6,4,8,2,9,1,10\20,9,3,8,10\4,3,1
\13,2,3,7,1,\15,4,3,5,2,1,\33,5,9,7,8,4
\22,5,8,9,x,\3,2,1,\14,5,9,\16,1,6,3,4,2
