16,26,,,,,,,,,,,,,,,,,,,,,,,,
x,11\,21\,16\,x,8\,4\,15\,x,x,42\,15\,6\,x,23\,4\,29\,x,x,15\,16\,7\,x,23\,20\,16\
\23,,,,16\7,,,,13\,\15,,,,6\12,,,,x,4\13,,,,28\24,,,
\44,,,,,,,,,4\29,,,,,,,,3\43,,,,,,,,
\11,,,,,x,45\11,,,,,3\10,,,,3\15,,,,,45\,\10,,,,
x,6\,14\3,,,7\10,,,24\11,,,,28\,7\,28\7,,,,10\6,,,10\8,,,16\,6\
\37,,,,,,,,,14\28,,,,,,,,5\38,,,,,,,,
\5,,,10\,23\3,,,24\24,,,,13\13,,,,24\12,,,,6\17,,,7\,6\12,,
\14,,,,,\38,,,,,,,,\28,,,,,,,,\10,,,,
x,16\,23\16,,,\12,,,6\,6\,38\8,,,\11,,,40\,12\,23\5,,,\4,,,11\,8\
\18,,,,,17\41,,,,,,,,10\42,,,,,,,,3\10,,,,
\16,,,35\,26\15,,,34\6,,,,8\10,,,,11\24,,,,15\3,,,12\,15\3,,
\40,,,,,,,,,16\28,,,,,,,,14\36,,,,,,,,
x,7\,11\14,,,\11,,,14\23,,,,13\,15\,8\22,,,,12\5,,,\8,,,7\,23\
\19,,,,,12\,9\30,,,,,12\13,,,,16\28,,,,,10\,17\14,,,,
\39,,,,,,,,,\28,,,,,,,,\36,,,,,,,,
\20,,,,\23,,,,x,\23,,,,\13,,,,x,\13,,,,\13,,,
