16,26,,,,,,,,,,,,,,,,,,,,,,,,
x,11\,21\,16\,x,8\,4\,15\,x,x,42\,15\,6\,x,23\,4\,29\,x,x,15\,16\,7\,x,23\,20\,16\
\23,8,2,1,16\7,9,9,1,13\,\15,1,9,8,6\12,2,1,2,x,4\13,8,1,2,28\24,2,4,1
\44,8,9,1,9,9,1,8,2,4\29,8,9,1,9,8,9,4,3\43,2,2,1,1,1,1,2,8
\11,8,2,1,8,x,45\11,9,9,3,1,3\10,2,9,8,3\15,1,2,1,9,45\,\10,9,8,9,2
x,6\,14\3,3,8,7\10,1,9,24\11,1,8,9,28\,7\,28\7,9,1,1,10\6,9,9,10\8,1,1,16\,6\
\37,1,3,9,1,8,8,1,9,14\28,9,4,9,5,1,3,9,5\38,9,1,9,7,9,9,8,2
\5,9,1,10\,23\3,2,8,24\24,9,2,2,13\13,9,7,8,24\12,9,1,1,6\17,8,4,7\,6\12,9,2
\14,9,9,4,9,\38,2,9,2,1,3,1,1,\28,1,9,1,5,2,6,1,\10,1,9,1,2
x,16\,23\16,2,7,\12,2,9,6\,6\,38\8,1,1,\11,7,1,40\,12\,23\5,2,1,\4,6,2,11\,8\
\18,7,2,1,1,17\41,7,9,9,9,1,1,8,10\42,3,8,1,9,9,9,9,3\10,6,9,1,9
\16,1,1,35\,26\15,9,3,34\6,9,2,5,8\10,1,4,8,11\24,1,9,5,15\3,9,9,12\,15\3,1,8
\40,9,1,3,8,1,9,9,2,16\28,7,1,5,8,7,1,1,14\36,1,9,1,3,2,9,9,2
x,7\,11\14,1,4,\11,1,1,14\23,1,9,1,13\,15\,8\22,8,1,1,12\5,2,2,\8,9,9,7\,23\
\19,9,1,1,9,12\,9\30,9,9,1,9,12\13,8,6,1,16\28,2,1,2,3,10\,17\14,1,1,9,2
\39,9,9,8,1,9,9,8,3,\28,8,9,2,1,1,9,1,\36,1,8,2,4,3,2,9,1
\20,9,8,1,\23,1,9,1,x,\23,9,1,1,\13,9,9,7,x,\13,5,8,2,\13,2,3,1
