31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,26\,28\,x,x,17\,38\,23\,11\,x,x,x,24\,16\,23\,x,x,x,x,16\,37\,x,14\,9\,x,x,x,x,9\,24\,x,x,x,x,28\,4\,x,x,x,x,10\,11\,x,20\,34\,x
\11,,,7\,\29,,,,,31\,15\,\18,,,,20\,x,4\,17\16,,,8\14,,,16\,29\,x,\8,,,11\,x,x,8\6,,,x,29\,22\,4\9,,,\6,,,x
\6,,,,17\39,,,,,,,13\28,,,,,15\45,,,,,,,,,,13\,10\19,,,,x,19\8,,,,\22,,,,,,20\16,,,x
\29,,,,,21\16,,,5\26,,,,,28\19,,,,,,3\13,,,3\,44\35,,,,,,,,10\10,,,,13\,\8,,,,\14,,,,,9\
\13,,,10\15,,,,5\11,,,,,35\29,,,,,9\,\3,,,8\7,,,6\19,,,,27\,16\23,,,,\14,,,6\11,,,15\,34\,11\29,,,,
x,13\13,,,16\24,,,,,,,45\23,,,,9\12,,,41\29,,,,,,,,\16,,,,21\3,,,39\11,,,,,6\29,,,,,\7,,
\28,,,,,,,,10\28,,,,,,29\10,,,,,14\3,,,6\11,,,x,22\,42\23,,,,3\15,,,,10\33,,,,,,,27\,14\3,,
\28,,,,,,23\,38\4,,,10\28,,,,,,,7\29,,,,,,,,\23,,,,4\3,,,4\22,,,,10\10,,,18\29,,,,,,x
x,3\,23\,x,23\29,,,,,\21,,,,23\13,,,15\20,,,,9\,17\11,,,x,16\39,,,,,,,,,15\7,,,,45\16,,,,,,19\,16\
\9,,,3\22,,,,,,13\24,,,,,,41\6,,,,31\21,,,,,9\18,,,,10\9,,,9\15,,,,,,24\17,,,,43\14,,,,
\19,,,,,13\15,,,4\10,,,,21\45,,,,,,,,,,17\24,,,,35\11,,,44\4,,,17\8,,,29\38,,,,,,,,16\14,,
x,\16,,,,,4\29,,,,,,,,\10,,,\6,,,15\,38\39,,,,,,,,,12\37,,,,,,,,,24\5,,,10\13,,,3\
x,x,19\,17\25,,,,,,,\3,,,38\,\3,,,38\35,,,,,,39\,10\19,,,,4\10,,,,,38\8,,,29\23,,,,\19,,,,,
x,17\21,,,,36\5,,,45\,x,17\23,,,,13\21,,,,3\24,,,,7\17,,,27\23,,,,,,43\34,,,,,,12\17,,,\11,,,14\7,,
\23,,,,,,3\10,,,22\21,,,,,,,11\6,,,,\29,,,,,,,\8,,,3\6,,,,29\34,,,,,,8\21,,,,20\,x
\16,,,16\,23\29,,,,,,,\41,,,,,,,,,20\17,,,,4\8,,,22\,17\18,,,,9\17,,,\11,,,,36\18,,,,,,3\
x,\26,,,,,,20\8,,,,13\11,,,17\23,,,,8\,\4,,,3\9,,,,\43,,,,,,,,,45\22,,,,,,,29\,16\5,,
x,8\,15\24,,,,\35,,,,,,28\9,,,,10\3,,,39\21,,,,,,,6\12,,,,21\24,,,,,,,\14,,,3\17,,,,,
\4,,,3\3,,,\16,,,24\27,,,,,,17\34,,,,,,12\10,,,7\14,,,,40\12,,,,\18,,,,x,20\,7\6,,,17\21,,,,x
\21,,,,,,41\12,,,,17\9,,,32\10,,,,,13\9,,,,12\,40\35,,,,,,\11,,,x,23\17,,,29\23,,,,,,,10\,19\,x
x,7\5,,,14\10,,,19\36,,,,,,,,,27\37,,,,,,,,,8\,10\9,,,9\4,,,15\41,,,,,,,,13\30,,,,,4\
\4,,,7\41,,,,,,,,24\16,,,3\16,,,11\11,,,7\23,,,,12\45,,,,,,,,,,17\23,,,,11\16,,,24\22,,,,
\14,,,,,11\23,,,,36\19,,,,,,17\8,,,28\11,,,,\11,,,,,16\23,,,,8\23,,,,,,\19,,,,,,\3,,
x,x,38\17,,,,,,16\20,,,,33\36,,,,,,,,,x,17\5,,,7\,32\12,,,,22\9,,,11\9,,,,22\27,,,,,5\,23\,29\,6\
x,7\15,,,,,,10\11,,,4\11,,,,16\17,,,3\17,,,,\41,,,,,,,,16\21,,,,,,,27\3,,,8\,29\20,,,,,
\11,,,x,15\26,,,,,,,4\20,,,,4\17,,,,9\,x,29\15,,,10\4,,,6\27,,,,,22\20,,,,,,12\29,,,,,,,
\4,,,20\20,,,,,8\10,,,,,\7,,,20\7,,,,10\29,,,,,,,,\12,,,11\6,,,,10\36,,,,,,,10\11,,,29\
\10,,,,,23\,x,15\12,,,\3,,,9\7,,,,14\,24\18,,,,5\3,,,10\3,,,3\,5\11,,,,,21\10,,,,,23\7,,,,9\7,,
x,\30,,,,,13\17,,,,x,8\9,,,,\37,,,,,,,,4\,14\11,,,16\16,,,,,,13\29,,,,,4\10,,,13\25,,,,
x,\8,,,\34,,,,,,\22,,,,x,\23,,,,x,\45,,,,,,,,,,\29,,,,,\28,,,,,,,\24,,,
x,\16,,,\14,,,x,x,x,\5,,,x,x,x,\10,,,x,x,x,\7,,,\17,,,x,x,x,\23,,,,x,x,\13,,,,,x,\12,,
