32,22,,,,,,,,,,,,,,,,,,,,
x,21\,38\,6\,8\,x,16\,10\,x,x,35\,45\,12\,6\,x,x,38\,13\,13\,x,38\,23\
\19,9,6,1,3,18\6,1,5,7\,\19,7,1,8,3,10\,\19,7,9,3,\16,7,9
\41,8,9,5,1,7,2,3,6,13\16,6,2,4,1,3,14\13,8,4,1,22\11,3,8
\12,4,8,35\37,4,3,6,2,1,7,9,5,12\11,2,1,3,5,29\27,9,4,8,6
x,10\12,3,9,25\12,8,4,30\,7\25,6,8,9,2,13\30,6,7,9,8,19\6,1,5,17\
\29,7,5,8,9,14\9,3,2,4,23\12,5,4,1,2,12\30,4,3,5,1,2,6,9
\33,3,7,6,8,9,13\13,3,1,9,19\30,8,9,6,7,16\39,6,7,4,5,9,8
x,x,39\45,4,6,5,3,1,2,8,9,7,13\10,4,5,1,6\19,9,3,7,36\,6\
x,23\7,4,1,2,22\8,1,7,16\16,6,2,3,4,1,16\8,6,2,10\10,2,3,4,1
\22,6,9,7,4\25,7,9,8,1,16\23,8,6,9,17\30,8,4,3,6,9,29\4,1,3
\13,8,5,\5,1,4,4\21,9,4,8,30\,x,22\24,9,7,3,1,4,6\6,1,3,2
\16,9,7,9\6,3,2,1,6\12,2,1,9,45\11,3,5,1,2,29\,3\8,1,2,5,7\
x,7\14,8,6,24\45,9,3,2,6,7,8,5,4,1,13\,24\21,1,2,5,3,6,4
\12,2,1,3,6,10\,40\4,1,3,28\36,6,4,7,2,5,8,3,1,22\7,4,2,1
\6,4,2,\10,1,4,2,3,17\26,9,7,8,2,29\23,8,9,6,15\15,1,5,7,2
\4,1,3,34\13,3,1,9,\16,9,7,38\15,3,5,7,16\28,7,4,1,2,6,8,x
x,x,38\11,1,2,3,5,7\36,8,4,5,2,1,9,7,\29,5,9,7,8,36\,7\
x,16\23,1,3,5,2,8,4,6\12,8,3,1,11\14,5,9,17\10,2,3,5,\3,2,1
\29,8,5,9,7,3\6,3,1,2,27\28,9,6,5,8,16\14,1,8,2,3,3\10,6,4
\24,7,9,8,14\40,1,7,2,4,6,8,9,3,24\8,1,7,4\,14\10,4,1,3,2
\21,1,3,4,5,2,6,16\,18\45,5,6,7,2,8,4,9,3,1,4\6,2,4,24\
x,8\24,8,7,9,17\,21\19,1,2,9,7,\13,1,9,3,33\6,1,2,3,\15,7,8
\7,1,4,2,16\34,8,4,6,9,7,3\,45\,8\22,7,6,9,24\5,4,1,22\12,5,7
\8,2,6,22\34,6,9,8,4,7,15\8,1,2,5,22\26,2,8,9,7,13\24,7,8,9
\11,5,2,3,1,28\12,9,3,8\16,3,2,4,1,6,22\9,2,7,16\8,2,5,1,x
x,14\,39\15,2,4,9,21\7,2,1,4,14\45,6,2,7,5,1,8,9,4,3,38\,12\
\22,5,4,1,2,7,3,7\23,7,1,6,9,35\23,9,8,6,18\34,7,6,4,8,9
\42,9,6,7,3,8,5,4,9\29,7,5,8,9,7\22,9,7,6,19\11,1,2,5,3
x,23\12,8,4,11\10,4,1,2,3,10\20,3,7,6,4,7\,22\12,4,8,18\10,1,9,6\
\28,6,9,5,8,4\12,6,1,2,3,6\39,1,5,3,4,8,2,7,9,12\10,7,3
\16,9,7,\7,2,1,4,\17,4,1,2,3,7,\36,3,5,1,4,7,8,6,2
\13,8,5,\6,1,3,2,x,\23,6,4,5,8,x,\14,9,5,\10,2,4,3,1
